ID,Title,Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
1,Neon Genesis Evangelion,Original,26,Gainax,1995-10-04,1996-03-27,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",30,890,/y2ah9t0navXyIvoHg1uIbIHO3tt.jpg
2,Serial Experiments Lain,Original,13,Triangle Staff,1998-07-06,1998-09-28,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",339,1087,/ej3tcxv2YYVWy6WoOeWZTcrkiI8.jpg
3,Cowboy Bebop,Original,26,Sunrise,1998-04-03,1999-04-24,"Action, Adventure, Drama, Sci-Fi",1,30991,/xDiXDfZwC6XYC6fxHI1jl3A3Ill.jpg
4,FLCL,Original,6,Gainax,2003-05-05,2003-05-13,"Action, Comedy, Mecha, Sci-Fi",227,5895,/FkgA8CcmiLJGVCRYRQ2g2UfVtF.jpg
5,Revolutionary Girl Utena,Original,39,J.C. Staff,1997-04-02,1997-12-24,"Drama, Fantasy, Mystery, Psychological, Romance",440,1042,/bnWxRJHWbYcAGq9HWWuKCwm7I5X.jpg
6,The Tatami Galaxy,Novel,11,MADHOUSE,2010-04-23,2010-07-02,"Comedy, Mystery, Psychological, Romance",7785,36243,/3Ngmk2kNh6JTdqPwMdiZvDSdlGH.jpg
7,Ping Pong the Animation,Manga,11,Tatsunoko Production,2014-04-11,2014-06-20,"Drama, Psychological, Sports",20607,60811,/frgVn3ww547TVQH8vS2bWKZnEBu.jpg
8,Mushishi,Manga,46,Artland,2005-10-23,2014-12-21,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",457,26867,/ianYYQaLkksLGCfeisFNYJE7jIO.jpg
9,Monogatari,Light Novel,96,Shaft,2009-07-03,2019-06-22,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",5081,46195,/gUraB6perKNTXBHV4fRhnYUW6cJ.jpg
10,Nichijou,Manga,26,Kyoto Animation,2011-04-03,2011-09-25,"Comedy, Slice of Life",10165,44684,/qmi1VpOvPFRHg02fbLuc3pVrMbt.jpg
11,March Comes in Like a Lion,Manga,44,Shaft,2016-10-08,2018-03-31,"Drama, Slice of Life",21366,65336,/z7XceZ0n0f032yaq8R2zSimsjVl.jpg
12,Haibane Renmei,Other,13,Radix,2002-10-09,2002-12-18,"Drama, Fantasy, Mystery, Psychological, Slice of Life",387,34164,/uSrIXnPIUkapk0JwMldDZTusl5O.jpg
13,Puella Magi Madoka Magica,Original,12,Shaft,2011-01-07,2011-04-22,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",9756,39218,/48GLvRh3lgh5gjl0uVen60bslRM.jpg
14,K-On!,Manga,35,Kyoto Animation,2009-04-03,2010-09-15,"Comedy, Music, Slice of Life",5680,42253,/70hf2538UAf7mzzNgvqTlWq6PDf.jpg
15,Welcome to the NHK,Light Novel,24,GONZO,2006-07-09,2006-12-17,"Comedy, Drama, Psychological, Romance, Slice of Life",1210,42821,/m6OCDukPsKLWGcUktsnd3xtE0vT.jpg
16,Steins;Gate,Visual Novel,24,White Fox,2011-04-06,2011-09-14,"Drama, Psychological, Sci-Fi, Thriller",9253,42509,/6iysgZr6Upm5RlAlVFo5f4D9euu.jpg
17,Fullmetal Alchemist: Brotherhood,Manga,64,bones,2009-04-05,2010-07-04,"Action, Adventure, Drama, Fantasy",5114,31911,/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg
18,Paranoia Agent,Original,13,MADHOUSE,2004-02-03,2004-05-18,"Drama, Mystery, Psychological, Supernatural, Thriller",323,9343,/cQ6YiBTUlsKGm2mWa7mE9eZnlS2.jpg
19,Texhnolyze,Original,22,MADHOUSE,2003-04-17,2003-09-25,"Action, Drama, Psychological, Sci-Fi",26,8838,/oUE17mULuTiNFrfAIFUCH0wK6BO.jpg
20,Penguindrum,Original,24,Brain's Base,2011-07-03,2011-12-23,"Drama, Mystery, Psychological, Supernatural",10721,39657,/qXhVdZpGeXi98Nwmu0F3WzrxKid.jpg
21,Kaiba,Original,12,MADHOUSE,2008-04-11,2008-07-25,"Adventure, Mystery, Psychological, Romance, Sci-Fi",3701,34747,/7rq1AFb5SO9j1hlS0SuThLcBBVM.jpg
22,From the New World,Novel,25,A-1 Pictures,2012-09-29,2013-03-23,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",13125,53052,/ywghUXAMWJ2uY43bPUgRCPnusJF.jpg
23,The Melancholy of Haruhi Suzumiya,Light Novel,28,Kyoto Animation,2006-04-03,2009-09-11,"Comedy, Mystery, Sci-Fi, Slice of Life, Supernatural",849,42511,/5rbehM5zkF8xlLce4F9kJZWhqmU.jpg
24,Hyouka,Light Novel,22,Kyoto Animation,2012-04-23,2012-09-17,"Mystery, Slice of Life",12189,65329,/dnYx8jtn2JzAMkVYRG9mFZMJoDc.jpg
25,Hunter x Hunter (2011),Manga,148,MADHOUSE,2011-10-02,2014-09-23,"Action, Adventure, Fantasy",11061,46298,/ucpgmUR1h5Te1BYegKItoPjOeF7.jpg
26,Legend of the Galactic Heroes,Novel,110,Artland,1988-12-01,1997-02-01,"Drama, Sci-Fi",820,27660,/j6amUPH88lc7cJf54MKZCf4a9NA.jpg
27,Aria,Manga,59,Hal Film Maker,2005-10-06,2015-09-26,"Fantasy, Sci-Fi, Slice of Life",477,53787,/ibcQODpXuKQtYWNQEIfOXnxRSqM.jpg
28,Code Geass,Original,50,Sunrise,2006-10-05,2008-09-28,"Action, Drama, Mecha, Sci-Fi, Thriller",126830,31724,/8p3HXHOQXjMpU9gAkZVAqozhDzQ.jpg
29,Anne of Green Gables,Novel,50,Nippon Animation,1979-01-07,1979-12-30,"Drama, Slice of Life",283,16047,/hW5TyvMdJbyAOOzFCTQCwDHa3g5.jpg
